genre,label
kwaito house,1555
pibroch,1556
musique peule,1557
french reggae,1558
kindermusik,1559
musica infantil catala,1560
soviet synthpop,1561
plunderphonics,1562
wind quintet,1563
huayno,1564
rap dominicano,1565
buffalo ny indie,1566
chinese idol pop,1567
pirate,1568
finnish alternative rock,1569
okinawan pop,1570
dub poetry,1571
pakistani pop,1572
japanese jazz,1573
colombian hip hop,1574
classic pakistani pop,1575
chinese instrumental,1576
shaabi,1577
fidget house,1578
modern ska punk,1579
deep delta blues,1580
variete francaise,1581
esperanto,1582
australian choir,1583
vietnamese pop,1584
military cadence,1585
symphonic black metal,1586
canadian psychedelic,1587
circuit,1588
austin americana,1589
german pop rock,1590
beat italiano,1591
chamber folk,1592
spanish invasion,1593
russian jazz,1594
music box,1595
art rock,1596
italian techno,1597
nordic contemporary classical,1598
folklore argentino,1599
classic finnish pop,1600
rva indie,1601
orlando indie,1602
j-idol,1603
cyberpunk,1604
polish rock,1605
rif,1606
pet calming,1607
vintage rockabilly,1608
christchurch indie,1609
zapstep,1610
deep cumbia sonidera,1611
brazilian punk,1612
power thrash,1613
british experimental,1614
pittsburgh rap,1615
trash rock,1616
float house,1617
afrobeat brasileiro,1618
street band,1619
boston indie,1620
swiss worship,1621
dark post-punk,1622
rochester mn indie,1623
skramz,1624
oth indie,1625
pittsburgh rock,1626
australian psych,1627
modern psychedelic folk,1628
rap conscient,1629
classic eurovision,1630
folclor colombiano,1631
alberta hip hop,1632
finnish edm,1633
fast melodic punk,1634
irish electronic,1635
synth funk,1636
timba,1637
west australian hip hop,1638
rune folk,1639
dark jazz,1640
ghanaian hip hop,1641
corrosion,1642
kashmiri pop,1643
trap chileno,1644
south african rock,1645
cantopop,1646
musique pour enfants,1647
historic string quartet,1648
modern big band,1649
japanese post-hardcore,1650
magyar,1651
twoubadou,1652
indorock,1653
middle eastern traditional,1654
washboard,1655
slamming deathcore,1656
jewish cantorial,1657
gospel rap,1658
jump up,1659
korean indie rock,1660
virginia metal,1661
